Number of variables,Number of clauses,result 1/2,time 1/2,result LSU interrupted
33,500,470,0.17821097373962402,461
33,500,465,0.17809653282165527,461
33,600,557,0.2347579002380371,559
33,600,561,0.2334606647491455,560
33,600,566,0.21607208251953125,568
33,600,558,0.23147249221801758,552
33,600,562,0.24069547653198242,560
33,700,643,0.28876471519470215,642
33,700,652,0.6224908828735352,648
33,700,646,0.26616835594177246,647
33,700,655,0.2485194206237793,652
33,700,641,0.2583885192871094,650
33,800,739,0.27683234214782715,722
33,800,738,0.30863070487976074,740
33,800,736,0.2784578800201416,735
33,800,734,0.2954707145690918,732
33,800,738,0.3147594928741455,731
33,900,823,0.3738088607788086,822
33,900,834,0.3349614143371582,835
33,900,826,0.34799909591674805,823
33,900,829,0.3315107822418213,819
33,900,829,0.3629887104034424,817
35,100,98,0.03856706619262695,100
35,100,97,0.03859281539916992,100
35,100,100,0.037932634353637695,100
35,100,99,0.03843116760253906,100
35,100,100,0.04000568389892578,100
35,200,194,0.08485698699951172,198
35,200,193,0.08958935737609863,197
35,200,195,0.08074426651000977,198
35,200,190,0.07854437828063965,198
35,200,192,0.0833432674407959,196
35,300,283,0.12344789505004883,292
35,300,285,0.1233832836151123,290
35,300,281,0.1582045555114746,287
35,300,290,0.13388633728027344,293
35,300,286,0.1155550479888916,292
35,400,376,0.1682882308959961,380
35,400,378,0.15355610847473145,383
35,400,374,0.17229962348937988,375
35,400,378,0.15590476989746094,383
35,400,375,0.19556498527526855,380
35,500,471,0.19714117050170898,467
35,500,466,0.2469329833984375,464
35,500,465,0.19995331764221191,466
35,500,466,0.19948410987854004,457
35,500,470,0.19759392738342285,461
35,600,561,0.2366187572479248,560
35,600,561,0.23029041290283203,558
35,600,554,0.30263257026672363,548
35,600,562,0.2429351806640625,563
35,600,562,0.23086190223693848,554
35,700,651,0.30974340438842773,645
35,700,642,0.3161332607269287,649
35,700,640,0.28054141998291016,629
35,700,658,0.27527332305908203,645
35,700,659,0.2847306728363037,653
35,800,729,0.31232762336730957,718
35,800,738,0.316699743270874,732
35,800,746,0.3219418525695801,734
35,800,743,0.3467404842376709,741
35,800,734,0.661998987197876,745
35,900,832,0.4031045436859131,817
35,900,825,0.3693530559539795,820
35,900,833,0.4491109848022461,813
35,900,834,0.37900209426879883,824
35,900,828,0.38164544105529785,822
37,100,100,0.04658770561218262,100
37,100,98,0.04926133155822754,100
37,100,98,0.04345870018005371,100
37,100,99,0.05297374725341797,100
37,100,98,0.0568234920501709,100
37,200,197,0.12335991859436035,198
37,200,193,0.10910630226135254,198
37,200,194,0.0854344367980957,198
37,200,195,0.09325027465820312,199
37,200,193,0.10898089408874512,200
37,300,284,0.17093324661254883,290
37,300,285,0.12625670433044434,288
37,300,285,0.13402628898620605,294
37,300,286,0.12122249603271484,289
37,300,281,0.12168002128601074,287
37,400,376,0.1688213348388672,376
37,400,378,0.1737368106842041,378
37,400,374,0.1623678207397461,372
37,400,383,0.19047188758850098,385
37,400,376,0.2014329433441162,386
37,500,469,0.20009469985961914,467
37,500,474,0.19845914840698242,474
37,500,470,0.20131230354309082,464
37,500,465,0.19849920272827148,465
37,500,475,0.19739866256713867,469
37,600,564,0.24082064628601074,556
37,600,557,0.26340675354003906,556
37,600,564,0.2822408676147461,557
37,600,568,0.25542545318603516,554
37,600,562,0.2758796215057373,553
37,700,651,0.4325675964355469,646
37,700,652,0.2658565044403076,651
37,700,651,0.2998480796813965,651
37,700,651,0.26605820655822754,643
37,700,649,0.2635831832885742,643
37,800,736,0.3021891117095947,719
37,800,739,0.30553293228149414,742
37,800,741,0.30413126945495605,725
37,800,736,0.2980985641479492,728
37,800,745,0.2995457649230957,731
37,900,825,0.33545756340026855,816
