Number of variables,Number of clauses,result 7/8,time 7/8,result RC2,time RC2
17,500,452,0.09331941604614258,462,1.983313798904419
17,500,454,0.09507870674133301,463,2.1329195499420166
17,500,465,0.09633064270019531,467,0.7197654247283936
17,500,458,0.09490108489990234,467,1.043848991394043
17,600,551,0.1191253662109375,556,2.46317458152771
17,600,544,0.11385059356689453,556,2.346024513244629
17,600,551,0.1129608154296875,556,2.292952537536621
17,600,550,0.11430668830871582,556,2.44002366065979
17,600,545,0.11399173736572266,554,2.646528959274292
17,700,631,0.13204336166381836,641,7.995981931686401
17,700,650,0.1387805938720703,650,3.985834836959839
17,700,634,0.13267731666564941,643,7.329985857009888
17,700,632,0.13543176651000977,641,7.080447196960449
17,700,638,0.13260126113891602,643,5.866405963897705
17,800,735,0.151749849319458,742,3.1297075748443604
17,800,723,0.1510930061340332,735,6.447675704956055
17,800,727,0.15430116653442383,739,3.3616933822631836
17,800,725,0.15335369110107422,736,7.114977598190308
17,800,726,0.15193462371826172,729,16.26259708404541
17,900,820,0.16912055015563965,824,8.246087312698364
17,900,808,0.18349003791809082,822,18.023406505584717
17,900,820,0.18266987800598145,825,11.004669189453125
17,900,819,0.23097777366638184,823,24.021727561950684
17,900,815,0.19131231307983398,824,14.822038173675537
19,100,97,0.021620750427246094,97,0.005006074905395508
19,100,96,0.021791934967041016,99,0.0015287399291992188
19,100,97,0.02355051040649414,99,0.0014545917510986328
19,100,97,0.02110576629638672,99,0.001344919204711914
19,100,99,0.021085500717163086,99,0.0014340877532958984
19,200,190,0.04207324981689453,193,0.013177156448364258
19,200,189,0.04320073127746582,192,0.02948617935180664
19,200,189,0.043528079986572266,192,0.026920080184936523
19,200,187,0.043051719665527344,190,0.08736014366149902
19,200,190,0.043654680252075195,192,0.023042678833007812
19,300,279,0.06665921211242676,283,1.2023475170135498
19,300,280,0.07216405868530273,282,1.076411247253418
19,300,275,0.06414222717285156,281,1.0288665294647217
19,300,284,0.06317329406738281,286,0.09108328819274902
19,300,277,0.06416559219360352,282,0.7045609951019287
19,400,367,0.08703756332397461,377,0.5623717308044434
19,400,374,0.08652949333190918,375,1.5247480869293213
19,400,369,0.08434581756591797,375,1.4705705642700195
19,400,367,0.08577346801757812,373,3.12760853767395
19,400,371,0.08559465408325195,374,1.988727331161499
19,500,458,0.17912054061889648,468,1.3314180374145508
19,500,461,0.10620999336242676,466,3.19594669342041
19,500,460,0.1062464714050293,465,2.6014742851257324
19,500,459,0.10454654693603516,466,2.315469264984131
19,500,464,0.10503268241882324,464,4.68980860710144
19,600,550,0.1275181770324707,556,6.853474378585815
19,600,554,0.12575578689575195,556,9.943733930587769
19,600,554,0.12666749954223633,566,0.5590982437133789
19,600,550,0.12386608123779297,559,3.1674420833587646
19,600,552,0.12738656997680664,553,10.973642110824585
19,700,632,0.14658880233764648,644,12.62663984298706
19,700,645,0.1449117660522461,648,12.388672113418579
19,700,634,0.1477963924407959,645,14.145592451095581
19,700,644,0.14705753326416016,645,12.973938941955566
19,700,632,0.14686012268066406,647,12.811539888381958
19,800,721,0.16896557807922363,733,46.027148485183716
19,800,740,0.16652870178222656,740,12.070891857147217
19,800,732,0.16897201538085938,735,15.912811279296875
19,800,728,0.17836427688598633,738,15.42833423614502
19,800,735,0.1710951328277588,740,11.013005018234253
19,900,819,0.19382429122924805,827,24.458845376968384
19,900,821,0.1927192211151123,828,30.739820957183838
19,900,818,0.18861746788024902,826,20.772186040878296
19,900,818,0.19117116928100586,819,82.80414700508118
19,900,820,0.18467974662780762,828,31.723069667816162
21,100,97,0.023768901824951172,99,0.0038945674896240234
21,100,98,0.022768735885620117,98,0.0017337799072265625
21,100,97,0.0227353572845459,99,0.0012598037719726562
21,100,99,0.023077726364135742,99,0.001268625259399414
21,100,97,0.022777795791625977,99,0.0012755393981933594
21,200,187,0.04581093788146973,191,0.1116795539855957
21,200,192,0.04702615737915039,194,0.011248350143432617
21,200,191,0.04603075981140137,193,0.024959087371826172
21,200,187,0.046698570251464844,192,0.06352591514587402
21,200,190,0.045479536056518555,193,0.04896402359008789
21,300,280,0.06912660598754883,288,0.19919872283935547
21,300,285,0.06819939613342285,287,0.24593377113342285
21,300,278,0.06970882415771484,286,0.3638346195220947
21,300,283,0.06914019584655762,287,0.25322937965393066
21,300,279,0.0696556568145752,285,0.29239392280578613
21,400,370,0.09248900413513184,376,2.4968388080596924
21,400,378,0.09117269515991211,383,0.2071821689605713
21,400,373,0.09284472465515137,380,1.0563745498657227
21,400,374,0.09262824058532715,377,2.5483548641204834
21,400,373,0.09122490882873535,379,1.7729082107543945
